ID;descrizione;abitanti;casi_da_inizio;positivi_settimana_precedente;positivi;variazione;vaccini_somministrati;positivi_x1000;casi_da_inizio_x1000;vaccini_somministrati_x100
Alessano;Alessano;6253;162;27;23;-4;1.041;3,68;25,91;16,65
Alezio;Alezio;5676;162;51;49;-2;772;8,63;28,54;13,60
Alliste;Alliste;6533;122;9;13;4;689;1,99;18,67;10,55
Andrano;Andrano;4666;111;23;10;-13;1.044;2,14;23,79;22,37
Aradeo;Aradeo;9087;113;16;14;-2;1.231;1,54;12,44;13,55
Arnesano;Arnesano;3995;137;20;13;-7;569;3,25;34,29;14,24
Bagnolo del Salento;Bagnolo del Salento;1808;44;7;7;0;278;3,87;24,34;15,38
Botrugno;Botrugno;2675;73;40;38;-2;576;14,21;27,29;21,53
Calimera;Calimera;6849;142;26;22;-4;1.576;3,21;20,73;23,01
Campi Salentina;Campi Salentina;9982;257;69;72;3;1.635;7,21;25,75;16,38
Cannole;Cannole;1669;77;0;1;1;308;0,60;46,14;18,45
Caprarica di Lecce;Caprarica di Lecce;2386;48;15;10;-5;525;4,19;20,12;22,00
